,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,6.373,4,20,5,1,piece-wise,20167,20167.0,0.0,3.45,3.45,0.0,4491806.2,4491806.2,0.0,4491806.2,4491806.2,0.0
1,0,optimal_fw,0.005,4,20,5,1,piece-wise,20167,12469.139247344023,0.382,3.45,2.13,0.383,4491806.2,3932734.82592,0.124,4491806.2,3932730.0,0.124
2,0,heuristic,0.019,3,20,5,1,piece-wise,20167,20167.0,0.0,3.45,3.45,0.0,4491806.2,4512222.2,-0.005,4491806.2,4512159.2,-0.005
3,0,heuristic_fw,0.006,3,20,5,1,piece-wise,20167,12769.158271739914,0.367,3.45,2.18,0.368,4491806.2,3932518.738,0.125,4491806.2,3932514.51,0.125
4,0,optimal,11.568,5,40,5,1,piece-wise,46098,46098.0,0.0,3.07,3.07,0.0,11401857.6,11401857.6,0.0,11401857.6,11401857.6,0.0
5,0,optimal_fw,0.004,5,40,5,1,piece-wise,46098,28907.10969441052,0.373,3.07,1.92,0.375,11401857.6,10111434.629922502,0.113,11401857.6,10111430.63,0.113
6,0,heuristic,0.036,5,40,5,1,piece-wise,46098,46098.0,0.0,3.07,3.07,0.0,11401857.6,11403322.0,-0.0,11401857.6,11403231.0,-0.0
7,0,heuristic_fw,0.004,5,40,5,1,piece-wise,46098,28896.242130101495,0.373,3.07,1.92,0.375,11401857.6,10111336.537498599,0.113,11401857.6,10111330.93,0.113
8,0,optimal,19.123,3,60,5,1,piece-wise,54500,54500.0,0.0,2.58,2.58,0.0,15102709.5,15102709.5,0.0,15102709.5,15102709.5,0.0
9,0,optimal_fw,0.006,3,60,5,1,piece-wise,54500,33874.0,0.378,2.58,1.61,0.376,15102709.5,14190241.61,0.06,15102709.5,14189956.91,0.06
10,0,heuristic,0.055,3,60,5,1,piece-wise,54500,54500.0,0.0,2.58,2.58,0.0,15102709.5,15102791.5,-0.0,15102709.5,15102709.5,0.0
11,0,heuristic_fw,0.006,3,60,5,1,piece-wise,54500,33874.0,0.378,2.58,1.61,0.376,15102709.5,14190545.866999999,0.06,15102709.5,14190268.79,0.06
12,0,optimal,25.51,3,80,5,1,piece-wise,92538,92538.0,0.0,2.58,2.58,0.0,25894898.3,25894898.3,0.0,25894898.3,25894898.3,0.0
13,0,optimal_fw,0.007,3,80,5,1,piece-wise,92538,58058.66786559084,0.373,2.58,1.62,0.372,25894898.3,24079650.794,0.07,25894898.3,24079669.64,0.07
14,0,heuristic,0.075,4,80,5,1,piece-wise,92538,92538.0,0.0,2.58,2.58,0.0,25894898.3,25976086.3,-0.003,25894898.3,25975818.3,-0.003
15,0,heuristic_fw,0.005,4,80,5,1,piece-wise,92538,56775.06274488874,0.386,2.58,1.59,0.384,25894898.3,24076074.44732,0.07,25894898.3,24076043.68,0.07
16,0,optimal,30.026,9,100,5,1,piece-wise,87904,278714.0,-2.171,1.98,6.29,-2.177,31639945.7,100504663.1,-2.177,31639945.7,100499466.1,-2.176
17,0,optimal_fw,0.002,9,100,5,1,piece-wise,87904,58355.205339240296,0.336,1.98,1.32,0.333,31639945.7,29885858.031978086,0.055,31639945.7,29885801.23,0.055
18,0,heuristic,0.097,9,100,5,1,piece-wise,87904,264913.0,-2.014,1.98,5.98,-2.02,31639945.7,99759456.4,-2.153,31639945.7,99753456.4,-2.153
19,0,heuristic_fw,0.002,9,100,5,1,piece-wise,87904,61831.92149950343,0.297,1.98,1.4,0.293,31639945.7,29889531.95709148,0.055,31639945.7,29889498.13,0.055
