,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.245,0.18899999999999997,0.154,0.158,0.154,0.151,0.146,0.14800000000000002,0.158,0.158,0.17,0.17800000000000002,0.245,0.509,0.42700000000000005,0.9279999999999999,0.9279999999999999,1.155,0.363,0.509,0.245,0.42700000000000005,0.616,0.616,0.509,0.509,0.616,0.616,0.509,0.509,0.509,0.275,0.275,0.42700000000000005,1.446,23.04,1.446,1.155,0.752,0.616,0.509,0.313,0.313,0.509,0.363,0.313,0.245,0.203
1,0.14,0.14,23.04,0.158,0.14,0.509,23.04,23.04,23.04,23.04,0.14300000000000002,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.142,0.145
2,0.14,0.14,23.04,23.04,23.04,23.04,0.14,0.14,0.14,23.04,23.04,0.313,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
3,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.313,23.04
4,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.446,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.151,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.155,23.04,23.04
5,0.14,0.141,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.446,23.04,23.04,0.14,1.446,23.04,23.04,0.14300000000000002
6,23.04,23.04,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.14,0.14
7,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04
8,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.14400000000000002,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.313,0.14,0.14,23.04,23.04,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.616,0.14,23.04,23.04,23.04,0.313,0.145,1.155
9,0.14,23.04,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,23.04,23.04,0.154,0.14,0.14,0.14,23.04,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.14,0.14,0.14,0.14,23.04,0.14,0.14
10,0.14,0.14,0.14,0.14,23.04,23.04,0.245,0.141,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.141,0.14,0.14,0.142,23.04,0.14,0.14,0.752,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14800000000000002,23.04
11,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.616,23.04,23.04
12,0.145,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.154,0.14,1.155,0.14,0.14,0.17800000000000002,0.14,0.14,0.14,0.14,0.14300000000000002,0.14,0.14,0.14,0.14,0.14,0.14,23.04,0.275,0.14
