,repeat,algorithm,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,1305.863,37,5000,5,0,piece-wise,2486911,25560532.0,-9.278,1.22,12.56,-9.295,1681983931.9,188928311376.0,-111.325,1681983931.9,188928311376.0,-111.325
1,0,optimal_fw,0.005,37,5000,5,0,piece-wise,2486911,2119036.1195819485,0.148,1.22,1.04,0.148,1681983931.9,1500901334.53,0.108,1681983931.9,1500901334.53,0.108
2,0,heuristic,4.304,29,5000,5,0,piece-wise,2486911,25443178.0,-9.231,1.22,12.5,-9.246,1681983931.9,136201863388.9,-79.977,1681983931.9,136201863388.9,-79.977
3,0,heuristic_fw,0.009,29,5000,5,0,piece-wise,2486911,2101971.401179213,0.155,1.22,1.03,0.156,1681983931.9,1500821134.6,0.108,1681983931.9,1500821134.6,0.108
4,0,optimal,1792.576,37,5000,5,1,piece-wise,2486911,3074736.0,-0.236,1.22,1.51,-0.238,1681983931.9,5927442263.6,-2.524,1681983931.9,5927426410.6,-2.524
5,0,optimal_fw,0.005,37,5000,5,1,piece-wise,2486911,2064577.467800435,0.17,1.22,1.01,0.172,1681983931.9,1500419125.8446136,0.108,1681983931.9,1500419094.53,0.108
6,0,heuristic,4.875,24,5000,5,1,piece-wise,2486911,23924629.0,-8.62,1.22,11.76,-8.639,1681983931.9,161785463926.0,-95.187,1681983931.9,161781089830.0,-95.185
7,0,heuristic_fw,0.008,24,5000,5,1,piece-wise,2486911,2107484.4990257146,0.153,1.22,1.04,0.148,1681983931.9,1500747941.5842338,0.108,1681983931.9,1500739835.21,0.108
8,0,optimal,1430.172,23,5000,5,5,piece-wise,2486911,36747017.0,-13.776,1.22,18.06,-13.803,1681983931.9,178053499036.4,-104.859,1681983931.9,178030242716.4,-104.845
9,0,optimal_fw,0.007,23,5000,5,5,piece-wise,2486911,2125404.841340151,0.145,1.22,1.04,0.148,1681983931.9,1501026842.4761677,0.108,1681983931.9,1501018849.6,0.108
10,0,heuristic,4.723,24,5000,5,5,piece-wise,2486911,24708483.0,-8.935,1.22,12.14,-8.951,1681983931.9,139770988826.2,-82.099,1681983931.9,139756961761.2,-82.091
11,0,heuristic_fw,0.008,24,5000,5,5,piece-wise,2486911,2114978.6353967288,0.15,1.22,1.04,0.148,1681983931.9,1500837501.2364352,0.108,1681983931.9,1500812032.15,0.108
12,0,optimal,1623.339,23,5000,5,10,piece-wise,2486911,40293084.0,-15.202,1.22,19.8,-15.23,1681983931.9,122181771629.3,-71.641,1681983931.9,122163263809.3,-71.63
13,0,optimal_fw,0.007,23,5000,5,10,piece-wise,2486911,2129675.4201640957,0.144,1.22,1.05,0.139,1681983931.9,1501096580.744784,0.108,1681983931.9,1501077883.76,0.108
14,0,heuristic,4.689,19,5000,5,10,piece-wise,2486911,22861766.0,-8.193,1.22,11.23,-8.205,1681983931.9,144840848637.4,-85.113,1681983931.9,144818775287.4,-85.1
15,0,heuristic_fw,0.009,19,5000,5,10,piece-wise,2486911,2137897.3710557227,0.14,1.22,1.05,0.139,1681983931.9,1501288934.783148,0.107,1681983931.9,1501236168.03,0.107
16,0,optimal,1392.398,18,5000,5,50,piece-wise,2486911,20116631.0,-7.089,1.22,9.88,-7.098,1681983931.9,139255641507.1,-81.792,1681983931.9,139210787557.1,-81.766
17,0,optimal_fw,0.008,18,5000,5,50,piece-wise,2486911,2140507.3528218735,0.139,1.22,1.05,0.139,1681983931.9,1501412372.755571,0.107,1681983931.9,1501354785.91,0.107
18,0,heuristic,4.456,17,5000,5,50,piece-wise,2486911,26361490.0,-9.6,1.22,12.95,-9.615,1681983931.9,117367166624.5,-68.779,1681983931.9,117315751174.5,-68.748
19,0,heuristic_fw,0.009,17,5000,5,50,piece-wise,2486911,2139937.819648588,0.14,1.22,1.05,0.139,1681983931.9,1501363926.1801758,0.107,1681983931.9,1501312777.16,0.107
20,0,optimal,1392.034,15,5000,5,100,piece-wise,2486911,26537330.0,-9.671,1.22,13.04,-9.689,1681983931.9,108427226414.2,-63.464,1681983931.9,108353603514.2,-63.42
21,0,optimal_fw,0.009,15,5000,5,100,piece-wise,2486911,2143079.7168605747,0.138,1.22,1.05,0.139,1681983931.9,1501551193.7129455,0.107,1681983931.9,1501442909.25,0.107
22,0,heuristic,4.367,16,5000,5,100,piece-wise,2486911,23442662.0,-8.426,1.22,11.52,-8.443,1681983931.9,102647308010.0,-60.028,1681983931.9,102592892010.0,-59.995
23,0,heuristic_fw,0.01,16,5000,5,100,piece-wise,2486911,2136114.5521396073,0.141,1.22,1.05,0.139,1681983931.9,1501292150.3963068,0.107,1681983931.9,1501232783.08,0.107
