,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.245,0.18899999999999997,0.154,0.158,0.154,0.151,0.146,0.14800000000000002,0.158,0.158,0.17,0.17800000000000002,0.245,0.509,0.42700000000000005,0.9279999999999999,0.9279999999999999,1.155,0.363,0.509,0.245,0.42700000000000005,0.616,0.616,0.509,0.509,0.616,0.616,0.509,0.509,0.509,0.275,0.275,0.42700000000000005,1.446,23.04,1.446,1.155,0.752,0.616,0.509,0.313,0.313,0.509,0.363,0.313,0.245,0.203
1,0.42700000000000005,0.363,0.245,0.17,0.158,0.154,0.163,0.221,0.9279999999999999,23.04,23.04,23.04,23.04,0.14,0.146,0.14,0.14,0.14,23.04,0.17800000000000002,23.04,23.04,0.14,0.14,0.146,0.158,0.14,0.14,0.14,0.14,0.14,23.04,23.04,23.04,0.14,0.14,0.14,0.14,0.14,0.14,0.14,23.04,23.04,0.14,0.14,0.14400000000000002,23.04,23.04
2,1.155,0.18899999999999997,0.42700000000000005,0.18899999999999997,0.163,0.154,0.18899999999999997,23.04,23.04,23.04,23.04,2.3040000000000003,0.363,0.14,0.221,0.14,0.14,0.14,23.04,23.04,0.14,0.146,0.17,0.17,0.163,23.04,0.14800000000000002,0.14,23.04,23.04,23.04,0.14,0.14,23.04,0.14,0.14,0.14,0.14,0.154,23.04,23.04,0.14,0.245,0.221,0.158,0.146,23.04,23.04
3,23.04,2.3040000000000003,0.9279999999999999,0.18899999999999997,0.163,0.163,23.04,23.04,23.04,23.04,23.04,0.203,0.9279999999999999,0.145,0.245,0.14,0.142,0.163,0.151,0.145,0.509,0.752,0.145,23.04,0.158,0.14800000000000002,0.17,23.04,0.221,0.245,0.141,23.04,0.17800000000000002,0.363,0.14,0.14,0.14,0.17,23.04,0.14300000000000002,0.14,23.04,23.04,0.42700000000000005,0.313,0.18899999999999997,0.146,23.04
4,0.17,0.42700000000000005,0.752,0.18899999999999997,0.17,0.18899999999999997,23.04,23.04,2.3040000000000003,23.04,0.313,23.04,0.14,0.14800000000000002,0.203,2.3040000000000003,0.14,0.145,0.203,0.221,0.17800000000000002,0.245,0.42700000000000005,0.145,1.155,2.3040000000000003,0.146,0.154,23.04,0.17,0.221,0.752,23.04,0.14,0.151,0.14,0.154,0.14300000000000002,0.14,23.04,0.17800000000000002,0.14,0.141,0.313,23.04,23.04,0.18899999999999997,0.158
5,23.04,23.04,1.155,0.203,0.17,0.203,23.04,23.04,23.04,0.154,0.158,0.363,0.363,0.17,0.146,0.154,1.446,0.14300000000000002,0.17,0.17800000000000002,1.446,0.17800000000000002,0.203,0.509,0.9279999999999999,0.146,23.04,0.163,0.158,0.203,0.616,0.509,0.142,23.04,0.151,0.14800000000000002,0.142,23.04,0.363,0.154,0.221,0.14,23.04,2.3040000000000003,0.163,0.146,0.158,23.04
6,0.9279999999999999,0.9279999999999999,23.04,0.245,0.203,1.446,23.04,1.821,0.509,0.203,0.203,0.9279999999999999,0.275,0.151,0.14800000000000002,0.245,0.158,0.17800000000000002,0.509,0.616,0.14800000000000002,1.155,0.17800000000000002,0.221,0.42700000000000005,0.616,0.145,0.509,23.04,23.04,0.146,0.17800000000000002,0.245,0.141,1.155,0.151,0.9279999999999999,0.42700000000000005,0.17800000000000002,0.145,2.3040000000000003,0.245,0.14800000000000002,2.3040000000000003,0.313,0.163,1.155,0.363
7,0.363,0.616,1.155,0.203,0.313,23.04,1.155,2.3040000000000003,23.04,0.221,0.203,0.275,0.163,0.154,0.203,0.18899999999999997,0.275,0.616,0.14800000000000002,0.42700000000000005,0.363,1.155,0.154,0.221,0.313,0.363,1.155,23.04,0.146,0.158,0.221,0.203,0.221,0.275,0.752,0.752,0.313,0.17800000000000002,0.146,23.04,0.616,0.17800000000000002,0.151,0.14300000000000002,0.221,23.04,0.9279999999999999,0.203
8,0.509,1.155,0.509,0.221,0.42700000000000005,23.04,23.04,23.04,0.154,0.17800000000000002,0.17,0.17,0.17800000000000002,1.446,0.221,0.163,0.203,0.363,0.221,0.313,0.313,0.158,1.821,0.203,0.275,0.9279999999999999,23.04,0.14400000000000002,0.14800000000000002,0.158,23.04,0.163,0.17,0.245,0.616,0.752,0.363,0.245,0.17800000000000002,0.14800000000000002,0.14,0.203,23.04,23.04,0.18899999999999997,0.158,0.509,0.275
9,0.752,1.446,0.509,0.221,0.42700000000000005,23.04,23.04,23.04,0.154,0.203,0.313,0.313,0.17,0.154,0.203,0.18899999999999997,0.245,0.42700000000000005,0.221,0.313,0.313,0.158,1.446,0.203,0.245,0.245,0.363,0.752,23.04,0.146,0.17800000000000002,0.17800000000000002,0.203,0.245,0.752,0.752,0.313,0.17800000000000002,0.146,23.04,0.752,0.17,0.14800000000000002,1.155,0.245,0.163,1.446,0.363
