,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,14.0,14.0,115.5,22.1,14.8,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.8,14.5,14.0,15.4,14.0,14.2,15.4,14.3,14.2,14.5,15.8,24.5,14.2,14.5,14.5,15.1,16.3,15.1,14.6,15.8,15.8,18.9,230.4,15.4,14.0,230.4,92.8,36.3,61.6,17.0,75.2,14.3,14.0,14.0,14.0
1,14.0,230.4,14.0,14.0,115.5,17.8,14.0,14.0,14.0,17.0,14.0,14.0,14.8,14.0,50.9,17.8,14.0,31.3,15.4,14.0,31.3,61.6,115.5,14.0,14.0,230.4,230.4,230.4,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.5,230.4,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,230.4,14.0
2,14.0,230.4,14.0,14.0,14.0,144.6,14.3,14.0,14.0,14.0,14.0,14.0,14.1,50.9,14.0,16.3,61.6,14.3,16.3,36.3,230.4,230.4,14.0,14.0,14.0,22.1,14.0,14.0,230.4,230.4,115.5,14.0,230.4,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,144.6,14.0,14.0,230.4,61.6,14.0
3,14.0,14.6,14.0,182.1,75.2,14.3,14.0,14.0,14.0,17.0,14.4,14.0,14.0,17.8,17.0,15.8,24.5,31.3,230.4,230.4,14.0,14.0,230.4,230.4,14.0,15.1,14.0,14.0,182.1,14.3,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,20.3,92.8
4,14.0,144.6,14.0,14.0,14.0,42.7,15.1,14.0,14.0,14.0,14.0,14.0,14.8,14.0,27.5,15.8,31.3,14.8,17.8,144.6,50.9,18.9,14.0,92.8,230.4,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,17.8,230.4,14.4,14.0,14.0,14.0,230.4,15.8,14.4
5,14.0,14.5,14.0,230.4,92.8,14.3,14.0,14.0,14.0,14.0,14.2,14.0,14.0,15.8,22.1,230.4,230.4,230.4,230.4,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,27.5,14.0,14.0,14.0,61.6,61.6,14.0,14.0,14.0,20.3,144.6
6,14.0,14.5,14.0,230.4,61.6,14.8,14.0,14.0,14.0,14.0,14.0,14.0,14.0,27.5,15.1,16.3,50.9,14.8,230.4,230.4,230.4,14.0,14.0,230.4,230.4,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.8,14.0,14.0,14.0,17.8,14.0,20.3,14.0,31.3,22.1,14.0,14.0,14.0,20.3,230.4
7,14.0,92.8,14.0,14.0,182.1,31.3,14.0,14.0,14.0,14.6,16.3,14.6,14.0,22.1,17.8,24.5,230.4,22.1,24.5,14.0,36.3,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.8,15.4,14.0,14.5,14.0,14.0,14.0,92.8,230.4,22.1,14.5,14.0,14.0,14.0,14.0,230.4,230.4,14.5
8,14.0,14.3,230.4,115.5,20.3,14.0,14.0,14.0,14.0,14.2,14.2,14.0,14.0,20.3,14.8,15.8,31.3,230.4,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.1,14.3,14.5,14.3,15.4,115.5,14.0,14.0,14.0,14.0,14.0,36.3,14.6,14.0,230.4,230.4,14.0,14.0,14.0,15.4
9,14.0,92.8,14.0,14.0,92.8,16.3,14.0,14.0,14.0,14.1,15.4,14.1,14.0,20.3,16.3,15.4,61.6,31.3,31.3,14.0,31.3,14.5,14.0,230.4,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.5,17.0,14.0,14.0,14.0,17.0,42.7,50.9,14.6,14.2,14.0,14.0,14.0,14.0,20.3,230.4
10,14.0,14.6,144.6,20.3,14.8,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,31.3,15.4,36.3,230.4,92.8,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,230.4,17.0,230.4,22.1,14.0,14.0,14.0,14.0,14.0,14.2,42.7,31.3,14.5,14.2,14.0,14.0,14.0,14.0,24.5,230.4
11,14.0,14.6,14.0,144.6,182.1,15.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,92.8,50.9,14.0,230.4,230.4,14.0,14.0,14.0,14.0,230.4,14.1,14.0,14.0,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,61.6,14.3,24.5,50.9,14.6,14.2,14.0,14.0,14.0,14.1,230.4,230.4
